13,23,16,1,10
39,1,27,1,2
40,1,27,1,2
38,1,27,1,2
38,1,28,1,2
36,1,27,1,2
37,1,26,1,2
34,1,26,1,2
35,1,26,1,2
37,7,53,2,0
18,22,35,1,24
18,24,34,1,24
11,23,35,2,10
9,35,10,1,43
4,28,18,1,29
4,28,14,1,29
4,28,25,1,29
4,28,19,1,29
4,28,18,1,29
4,28,61,1,29
18,29,10,1,31
18,29,10,1,31
5,20,36,1,10
5,20,44,1,10
25,24,14,1,28
25,24,13,1,28
30,16,51,2,11
30,16,51,2,11
30,16,58,2,11
30,16,29,2,11
36,13,17,1,16
36,13,15,1,16
36,13,13,1,16
36,13,26,1,16
36,13,14,1,16
47,13,68,1,3
47,13,52,1,3
47,13,66,1,3
45,11,11,1,3
45,11,26,1,3
22,28,38,1,32
22,28,15,1,32
4,28,20,1,29
4,28,21,1,29
4,28,16,1,29
45,5,30,1,3
45,5,28,1,3
45,5,18,1,3
45,11,23,1,3
45,11,23,1,3
45,11,23,1,3
45,11,16,1,3
54,3,25,1,4
54,3,25,1,4
54,3,18,1,4
54,3,12,1,4
54,3,22,1,4
54,3,24,1,4
54,3,12,1,4
54,3,12,1,4
54,3,14,1,4
54,3,32,1,4
54,3,23,1,4
54,3,33,1,4
54,3,26,1,4
54,3,22,1,4
54,3,13,1,4
62,4,23,1,5
62,4,24,1,5
62,4,24,1,5
62,4,32,1,5
62,4,25,1,5
62,4,24,1,5
62,4,22,1,5
62,4,14,1,5
62,4,22,1,5
4,28,23,1,29
36,13,18,1,16
62,4,24,1,5
62,4,24,1,5
60,30,0,1,36
89,2,18,1,9
95,3,16,1,9
93,6,14,1,9
75,6,15,1,8
97,11,19,4,15
64,11,15,1,12
69,11,13,1,13
88,11,16,3,15
73,11,20,4,0
75,11,24,2,14
98,12,21,4,0
80,12,16,4,14
73,13,9,1,0
78,12,14,2,14
75,13,10,2,0
89,13,12,1,0
73,14,11,1,14
60,14,21,1,12
64,14,17,1,12
61,15,30,4,12
73,15,14,3,14
85,15,16,3,15
86,15,16,4,15
92,15,20,4,15
59,15,16,4,12
81,14,9,1,14
81,13,26,4,14
81,12,11,1,0
78,15,24,3,14
77,7,27,1,8
95,15,15,4,15
97,15,16,2,15
56,16,11,1,17
55,16,14,1,17
60,15,9,1,12
93,3,24,1,9
95,12,19,4,0
90,11,19,3,15
86,11,14,4,15
85,11,26,2,15
87,14,10,1,0
89,14,9,1,0
88,15,15,4,15
89,15,15,4,15
93,15,23,4,15
95,14,9,1,15
81,15,18,2,14
80,14,10,1,14
80,15,16,4,14
80,31,21,2,0
74,32,24,4,38
90,32,26,4,39
22,79,28,3,106
22,81,29,4,106
10,82,24,3,118
26,82,23,2,120
9,81,10,1,118
22,89,22,2,122
18,90,11,2,122
22,90,12,2,122
22,92,11,2,122
